Date,Amount,Category
2025-01-01,57.22,Utilities
2025-01-02,54.46,Subscriptions
2025-01-03,31.28,Transport
2025-01-04,24.09,Healthcare
2025-01-05,104.73,Groceries
2025-01-06,141.4,Utilities
2025-01-07,148.55,Subscriptions
2025-01-08,141.25,Healthcare
2025-01-09,62.7,Healthcare
2025-01-10,40.25,Healthcare
2025-01-11,80.87,Dining Out
2025-01-12,111.92,Dining Out
2025-01-13,109.01,Groceries
2025-01-14,28.2,Utilities
2025-01-15,14.96,Healthcare
2025-01-16,82.17,Dining Out
2025-01-17,147.81,Entertainment
2025-01-18,62.4,Utilities
2025-01-19,109.33,Dining Out
2025-01-20,62.59,Utilities
2025-01-21,136.9,Entertainment
2025-01-22,102.09,Utilities
2025-01-23,20.57,Entertainment
2025-01-24,87.52,Healthcare
2025-01-25,128.73,Groceries
2025-01-26,50.54,Healthcare
2025-01-27,78.1,Subscriptions
2025-01-28,24.09,Healthcare
2025-01-29,63.59,Dining Out
2025-01-30,94.92,Dining Out
2025-01-31,11.83,Healthcare
2025-02-01,45.27,Healthcare
2025-02-02,87.16,Dining Out
2025-02-03,80.74,Dining Out
2025-02-04,142.46,Subscriptions
2025-02-05,38.13,Subscriptions
2025-02-06,70.86,Utilities
2025-02-07,145.12,Dining Out
2025-02-08,133.69,Entertainment
2025-02-09,40.88,Dining Out
2025-02-10,110.03,Entertainment
2025-02-11,83.84,Entertainment
2025-02-12,90.77,Transport
2025-02-13,109.19,Subscriptions
2025-02-14,33.07,Transport
2025-02-15,97.79,Subscriptions
2025-02-16,61.3,Subscriptions
2025-02-17,42.42,Transport
2025-02-18,33.69,Utilities
2025-02-19,33.53,Subscriptions
2025-02-20,83.68,Entertainment
2025-02-21,62.94,Transport
2025-02-22,50.68,Utilities
2025-02-23,138.36,Transport
2025-02-24,139.3,Groceries
2025-02-25,74.04,Subscriptions
2025-02-26,70.07,Entertainment
2025-02-27,76.14,Dining Out
2025-02-28,143.53,Transport
2025-03-01,89.43,Subscriptions
2025-03-02,140.26,Subscriptions
2025-03-03,103.42,Subscriptions
2025-03-04,57.85,Entertainment
2025-03-05,84.35,Subscriptions
2025-03-06,75.8,Utilities
2025-03-07,125.23,Subscriptions
2025-03-08,147.22,Dining Out
2025-03-09,16.55,Groceries
2025-03-10,50.19,Groceries
2025-03-11,90.88,Subscriptions
2025-03-12,74.61,Utilities
2025-03-13,81.44,Groceries
2025-03-14,140.06,Subscriptions
2025-03-15,122.13,Utilities
2025-03-16,16.46,Groceries
2025-03-17,87.04,Healthcare
2025-03-18,144.57,Transport
2025-03-19,70.88,Entertainment
2025-03-20,121.55,Groceries
2025-03-21,92.5,Dining Out
2025-03-22,60.71,Utilities
2025-03-23,120.1,Dining Out
2025-03-24,61.03,Entertainment
2025-03-25,86.52,Healthcare
2025-03-26,39.53,Groceries
2025-03-27,83.62,Groceries
2025-03-28,38.61,Utilities
2025-03-29,100.2,Utilities
2025-03-30,73.96,Healthcare
2025-03-31,57.98,Utilities
2025-04-01,146.85,Dining Out
2025-04-02,28.96,Dining Out
2025-04-03,88.32,Healthcare
2025-04-04,85.55,Groceries
2025-04-05,120.67,Entertainment
2025-04-06,79.17,Healthcare
2025-04-07,134.44,Groceries
2025-04-08,27.78,Entertainment
2025-04-09,96.27,Dining Out
2025-04-10,72.75,Transport
2025-04-11,126.95,Dining Out
2025-04-12,143.08,Dining Out
2025-04-13,102.84,Groceries
2025-04-14,72.01,Utilities
2025-04-15,148.22,Transport
2025-04-16,72.38,Utilities
2025-04-17,101.79,Utilities
2025-04-18,54.24,Entertainment
2025-04-19,104.94,Subscriptions
2025-04-20,127.17,Utilities
2025-04-21,36.91,Groceries
2025-04-22,37.43,Utilities
2025-04-23,147.9,Utilities
2025-04-24,66.14,Utilities
2025-04-25,147.31,Groceries
2025-04-26,40.96,Subscriptions
